2026-03-15 17:33:58.461 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 24: 100 events (total: 2400)
2026-03-15 17:33:58.463 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 25...
2026-03-15 17:33:58.809 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 25: 100 events (total: 2500)
2026-03-15 17:33:58.811 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 26...
2026-03-15 17:33:59.053 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 26: 100 events (total: 2600)
2026-03-15 17:33:59.055 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 27...
2026-03-15 17:33:59.441 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 27: 100 events (total: 2700)
2026-03-15 17:33:59.443 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 28...
2026-03-15 17:33:59.637 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 28: 100 events (total: 2800)
2026-03-15 17:33:59.640 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 29...
2026-03-15 17:33:59.832 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 29: 100 events (total: 2900)
2026-03-15 17:33:59.833 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 30...
2026-03-15 17:33:59.972 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 30: 100 events (total: 3000)
2026-03-15 17:33:59.975 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 31...
2026-03-15 17:34:00.124 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 31: 100 events (total: 3100)
2026-03-15 17:34:00.127 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 32...
2026-03-15 17:34:00.389 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 32: 100 events (total: 3200)
2026-03-15 17:34:00.393 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 33...
2026-03-15 17:34:00.533 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 33: 100 events (total: 3300)
2026-03-15 17:34:00.536 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 34...
2026-03-15 17:34:00.672 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 34: 100 events (total: 3400)
2026-03-15 17:34:00.674 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 35...
2026-03-15 17:34:00.906 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 35: 100 events (total: 3500)
2026-03-15 17:34:00.909 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 36...
2026-03-15 17:34:01.113 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 36: 100 events (total: 3600)
2026-03-15 17:34:01.115 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 37...
2026-03-15 17:34:01.557 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 37: 100 events (total: 3700)
2026-03-15 17:34:01.559 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 38...
2026-03-15 17:34:02.306 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 38: 100 events (total: 3800)
2026-03-15 17:34:02.308 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 39...
2026-03-15 17:34:02.715 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 39: 100 events (total: 3900)
2026-03-15 17:34:02.717 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 40...
2026-03-15 17:34:03.145 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 40: 100 events (total: 4000)
2026-03-15 17:34:03.147 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 41...
2026-03-15 17:34:03.398 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 41: 100 events (total: 4100)
2026-03-15 17:34:03.402 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 42...
2026-03-15 17:34:03.543 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 42: 100 events (total: 4200)
2026-03-15 17:34:03.546 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 43...
2026-03-15 17:34:03.748 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 43: 100 events (total: 4300)
2026-03-15 17:34:03.750 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 44...
2026-03-15 17:34:04.024 | INFO     | src.brokers.kalshi.client:_fetch_all_events:256 | Page 44: 100 events (total: 4400)
2026-03-15 17:34:04.026 | INFO     | src.brokers.kalshi.client:_fetch_all_events:239 | Fetching events page 45...
